crs-ref,PIQ-COURSE-UID,MDCO-COURSE-UID,MDCO-COURSECAT-UIDxSITE,MDCO-CAMPUSUID
1049,IMED-805.RNA,MDCO-IMED805.118,MDCO-IMED805.118-vcom.ardr.stdna,vcom.ardr.stdna
1047,ANES-801.H,MDCO-ANES801.268,MDCO-ANES801.268-vcom.ahem.campus,vcom.ahem.campus
1046,ANES-805.R,MDCO-ANES805.328,MDCO-ANES805.328-vcom.ardr.campus,vcom.ardr.campus
1045,SURG-816.AIR,MDCO-SURG816.378,N/A,N/A
1044,ANES-985,MDCO-ANES985.324,MDCO-ANES985.324-vcom.inab.campus,vcom.inab.campus
1043,OBGY-920.AIH,MDCO-OBGY920.114,N/A,N/A
1041,OBGY-985,MDCO-OBGY985.186,MDCO-OBGY985.186-vcom.inab.campus,vcom.inab.campus
1042,EMED-811.R,MDCO-EMED811.127,MDCO-EMED811.127-vcom.ardr.campus,vcom.ardr.campus
1037,MRAD-802.B,MDCO-MRAD802.230,MDCO-MRAD802.230-vcom.abry.campus,vcom.abry.campus
1039,MPSY-800.D,MDCO-MPSY800.224,MDCO-MPSY800.224-vcom.adll.campus,vcom.adll.campus
1038,MFCM-800.W,MDCO-MFCM800.140,MDCO-MFCM800.140-vcom.ahwh.campus,vcom.ahwh.campus
1040,MEID-985.RE,MDCO-MEID985.236,N/A,N/A
1034,OBGY-822.D,MDCO-OBGY822.347,N/A,N/A
1036,MEID 712,MDCO-MEID712.356,N/A,N/A
1035,SURG-803.RURAL,MDCO-SURG803.154,MDCO-SURG803.154-vcom.abee.campus,vcom.abee.campus
1033,MEID-989.H,MDCO-MEID840.508,N/A,N/A
1032,OBGY-800.H,MDCO-OBGY800.327,MDCO-OBGY800.327-vcom.ahem.campus,vcom.ahem.campus
1028,IMED-800.W,MDCO-IMED800.175,MDCO-IMED800.175-vcom.ahwh.campus,vcom.ahwh.campus
1024,EMED-800.H,MDCO-EMED800.284,MDCO-EMED800.284-vcom.ahem.campus,vcom.ahem.campus
1029,IMED-896.AIW,MDCO-IMED896.177,MDCO-IMED896.177-vcom.ahwh.campus,vcom.ahwh.campus
1025,EMED-805.B,MDCO-EMED805.362,MDCO-EMED805.362-vcom.abry.campus,vcom.abry.campus
1027,MRAD-800.D,MDCO-MRAD800.367,MDCO-MRAD800.367-vcom.adll.campus,vcom.adll.campus
1031,IMED-944.H,MDCO-IMED944.287,MDCO-IMED944.287-vcom.ahem.campus,vcom.ahem.campus
1030,EMED-999,MDCO-EMED999.197,MDCO-EMED999.197-vcom.inab.campus,vcom.inab.campus
1023,SURG-800.W,MDCO-SURG800.237,MDCO-SURG800.237-vcom.ahwh.campus,vcom.ahwh.campus
1026,ANES-801.AIM,MDCO-ANES801.268,MDCO-ANES801.268-vcom.abry.campus,vcom.abry.campus
1021,MPED-846.R,MDCO-MPED846.361,MDCO-MPED846.361-vcom.ardr.campus,vcom.ardr.campus
1018,MEID-828,MDCO-MEID828.280,MDCO-MEID828.280-vcom.inab.campus,vcom.inab.campus
1016,MEID 707 ENMED,MDCO-MEID707.137,N/A,N/A
