section_id,course_id,integration_id,name,status,start_date,end_date
11912.20262,SURG.802.202615.31B,,SURG-802-31B,active,,
11911.20262,SURG.802.202615.31D,,SURG-802-31D,active,,
11910.20262,SURG.802.202615.31E,,SURG-802-31E,active,,
11909.20262,SURG.802.202615.31F,,SURG-802-31F,active,,
11906.20262,SURG.802.202615.31T,,SURG-802-31T,active,,
11905.20262,SURG.802.202615.32B,,SURG-802-32B,active,,
11904.20262,SURG.802.202615.32D,,SURG-802-32D,active,,
11886.20262,SURG.802.202615.34R,,SURG-802-34R,active,,
11903.20262,SURG.802.202615.32E,,SURG-802-32E,active,,
11902.20262,SURG.802.202615.32F,,SURG-802-32F,active,,
11900.20262,SURG.802.202615.32R,,SURG-802-32R,active,,
11899.20262,SURG.802.202615.32T,,SURG-802-32T,active,,
11898.20262,SURG.802.202615.33B,,SURG-802-33B,active,,
11897.20262,SURG.802.202615.33D,,SURG-802-33D,active,,
11896.20262,SURG.802.202615.33E,,SURG-802-33E,active,,
11895.20262,SURG.802.202615.33F,,SURG-802-33F,active,,
11893.20262,SURG.802.202615.33R,,SURG-802-33R,active,,
11862.20262,SURG.803.202615.31E,,SURG-803-31E,active,,
11892.20262,SURG.802.202615.33T,,SURG-802-33T,active,,
11891.20262,SURG.802.202615.34B,,SURG-802-34B,active,,
11879.20262,SURG.802.202615.35R,,SURG-802-35R,active,,
11890.20262,SURG.802.202615.34D,,SURG-802-34D,active,,
11880.20262,SURG.802.202615.35H,,SURG-802-35H,active,,
11889.20262,SURG.802.202615.34E,,SURG-802-34E,active,,
11888.20262,SURG.802.202615.34F,,SURG-802-34F,active,,
11885.20262,SURG.802.202615.34T,,SURG-802-34T,active,,
11884.20262,SURG.802.202615.35B,,SURG-802-35B,active,,
11883.20262,SURG.802.202615.35D,,SURG-802-35D,active,,
11882.20262,SURG.802.202615.35E,,SURG-802-35E,active,,
10881.20262,SURG.857.202615.34R,,SURG-857-34R,active,,
11881.20262,SURG.802.202615.35F,,SURG-802-35F,active,,
11878.20262,SURG.802.202615.35T,,SURG-802-35T,active,,
11877.20262,SURG.802.202615.36B,,SURG-802-36B,active,,
11876.20262,SURG.802.202615.36D,,SURG-802-36D,active,,
11875.20262,SURG.802.202615.36E,,SURG-802-36E,active,,
11874.20262,SURG.802.202615.36F,,SURG-802-36F,active,,
11873.20262,SURG.802.202615.36H,,SURG-802-36H,active,,
11871.20262,SURG.802.202615.36T,,SURG-802-36T,active,,
11870.20262,SURG.802.202615.37B,,SURG-802-37B,active,,
11869.20262,SURG.802.202615.37D,,SURG-802-37D,active,,
11868.20262,SURG.802.202615.37E,,SURG-802-37E,active,,
11866.20262,SURG.802.202615.37H,,SURG-802-37H,active,,
11867.20262,SURG.802.202615.37F,,SURG-802-37F,active,,
11864.20262,SURG.802.202615.37T,,SURG-802-37T,active,,
11845.20262,SURG.803.202615.35F,,SURG-803-35F,active,,
11863.20262,SURG.803.202615.31B,,SURG-803-31B,active,,
11861.20262,SURG.803.202615.31F,,SURG-803-31F,active,,
11860.20262,SURG.803.202615.31H,,SURG-803-31H,active,,
11859.20262,SURG.803.202615.32B,,SURG-803-32B,active,,
11858.20262,SURG.803.202615.32E,,SURG-803-32E,active,,
11857.20262,SURG.803.202615.32F,,SURG-803-32F,active,,
11856.20262,SURG.803.202615.32H,,SURG-803-32H,active,,
11855.20262,SURG.803.202615.33B,,SURG-803-33B,active,,
11852.20262,SURG.803.202615.33H,,SURG-803-33H,active,,
11851.20262,SURG.803.202615.34B,,SURG-803-34B,active,,
11850.20262,SURG.803.202615.34E,,SURG-803-34E,active,,
11849.20262,SURG.803.202615.34F,,SURG-803-34F,active,,
11848.20262,SURG.803.202615.34H,,SURG-803-34H,active,,
11847.20262,SURG.803.202615.35B,,SURG-803-35B,active,,
11846.20262,SURG.803.202615.35E,,SURG-803-35E,active,,
11844.20262,SURG.803.202615.35H,,SURG-803-35H,active,,
11843.20262,SURG.803.202615.36B,,SURG-803-36B,active,,
11842.20262,SURG.803.202615.36E,,SURG-803-36E,active,,
11841.20262,SURG.803.202615.36F,,SURG-803-36F,active,,
11840.20262,SURG.803.202615.36H,,SURG-803-36H,active,,
11839.20262,SURG.803.202615.37B,,SURG-803-37B,active,,
11838.20262,SURG.803.202615.37E,,SURG-803-37E,active,,
11837.20262,SURG.803.202615.37F,,SURG-803-37F,active,,
11836.20262,SURG.803.202615.37H,,SURG-803-37H,active,,
11835.20262,SURG.805.202615.31B,,SURG-805-31B,active,,
11834.20262,SURG.805.202615.31D,,SURG-805-31D,active,,
11833.20262,SURG.805.202615.31E,,SURG-805-31E,active,,
11832.20262,SURG.805.202615.31H,,SURG-805-31H,active,,
11831.20262,SURG.805.202615.31T,,SURG-805-31T,active,,
11830.20262,SURG.805.202615.32B,,SURG-805-32B,active,,
11829.20262,SURG.805.202615.32D,,SURG-805-32D,active,,
11331.20262,SURG.810.202615.33T,,SURG-810-33T,active,,
11828.20262,SURG.805.202615.32E,,SURG-805-32E,active,,
11827.20262,SURG.805.202615.32H,,SURG-805-32H,active,,
11826.20262,SURG.805.202615.32T,,SURG-805-32T,active,,
11825.20262,SURG.805.202615.33B,,SURG-805-33B,active,,
11824.20262,SURG.805.202615.33D,,SURG-805-33D,active,,
11823.20262,SURG.805.202615.33E,,SURG-805-33E,active,,
11822.20262,SURG.805.202615.33H,,SURG-805-33H,active,,
11821.20262,SURG.805.202615.33T,,SURG-805-33T,active,,
11820.20262,SURG.805.202615.34B,,SURG-805-34B,active,,
11819.20262,SURG.805.202615.34D,,SURG-805-34D,active,,
11818.20262,SURG.805.202615.34E,,SURG-805-34E,active,,
11817.20262,SURG.805.202615.34H,,SURG-805-34H,active,,
11816.20262,SURG.805.202615.34T,,SURG-805-34T,active,,
